idn	akten-nr
1280494808                         	HABV_91_1_687               
1280494816                         	HABV_91_1_688               
1280494824                         	HABV_91_1_689               
1280494832                         	HABV_91_1_694               
1280494840                         	HABV_91_1_695               
1280494859                         	HABV_91_1_697               
1280494867                         	HABV_91_1_699               
1280494875                         	HABV_91_1_702               
1280494883                         	HABV_91_1_703               
1280494891                         	HABV_91_1_707               
1280494905                         	HABV_91_1_710               
1280494913                         	HABV_91_1_712               
1280494921                         	HABV_91_1_713               
128049493X                         	HABV_91_1_716               
1280494948                         	HABV_91_1_717               
1280494956                         	HABV_91_1_719               
1280494964                         	HABV_91_1_721               
1280494972                         	HABV_91_1_722               
1280494980                         	HABV_91_1_723               
1280494999                         	HABV_91_1_724               
1280495006                         	HABV_91_1_725               
1280495014                         	HABV_91_1_726               
1280495022                         	HABV_91_1_734               
1280495030                         	HABV_91_1_735               
1280495049                         	HABV_91_1_736               
1280495057                         	HABV_91_1_738               
1280495065                         	HABV_91_1_739               
1280495073                         	HABV_91_1_741               
1280495081                         	HABV_91_1_742               
128049509X                         	HABV_91_1_743               
1280495103                         	HABV_91_1_745               
1280495111                         	HABV_91_1_746               
128049512X                         	HABV_91_1_752               
1280495138                         	HABV_91_1_753               
1280495146                         	HABV_91_1_756               
1280495154                         	HABV_91_1_757               
1280495162                         	HABV_91_1_758               
1280495170                         	HABV_91_1_759               
1280495189                         	HABV_91_1_760               
1280495197                         	HABV_91_1_762               
1280495200                         	HABV_91_1_763               
1280495219                         	HABV_91_1_764               
1280495227                         	HABV_91_1_765               
1280495235                         	HABV_91_1_766               
1280495243                         	HABV_91_1_767               
1280495251                         	HABV_91_1_772               
128049526X                         	HABV_91_1_774               
1280495278                         	HABV_91_1_775               
1280495286                         	HABV_91_1_776               
1280495294                         	HABV_91_1_777               
1280495308                         	HABV_91_1_779               
1280495316                         	HABV_91_1_782               
1280495324                         	HABV_91_1_783               
1280495332                         	HABV_91_1_787               
1280495340                         	HABV_91_1_788               
1280495359                         	HABV_91_1_789               
1280495367                         	HABV_91_1_790               
1280495375                         	HABV_91_1_793               
1280495383                         	HABV_91_1_794               
1280495391                         	HABV_91_1_797               
1280495405                         	HABV_91_1_798               
1280495413                         	HABV_91_1_799               
1280495421                         	HABV_91_1_800               
128049543X                         	HABV_91_1_802               
1280495448                         	HABV_91_1_804               
1280495456                         	HABV_91_1_806               
1280495464                         	HABV_91_1_808               
1280495472                         	HABV_91_1_809               
1280495480                         	HABV_91_1_810               
1280495499                         	HABV_91_1_815               
1280495502                         	HABV_91_1_820               
1280495510                         	HABV_91_1_821               
1280495529                         	HABV_91_1_823               
1280495537                         	HABV_91_1_824               
1280495545                         	HABV_91_1_825               
1280495553                         	HABV_91_1_827               
1280495561                         	HABV_91_1_828               
128049557X                         	HABV_91_1_829               
1280495588                         	HABV_91_1_830               
1280495596                         	HABV_91_1_831               
128049560X                         	HABV_91_1_833               
1280495618                         	HABV_91_1_834               
1280495626                         	HABV_91_1_837               
1280495634                         	HABV_91_1_839               
1280495642                         	HABV_91_1_840               
1280495650                         	HABV_91_1_843               
1280495669                         	HABV_91_1_849               
1280495677                         	HABV_91_1_853               
1280495685                         	HABV_91_1_854               
1280495693                         	HABV_91_1_858               
1280495707                         	HABV_91_1_860               
1280495715                         	HABV_91_1_862               
1280495723                         	HABV_91_1_863               
1280495731                         	HABV_91_1_864               
128049574X                         	HABV_91_1_865               
1280495758                         	HABV_91_1_867               
1280495766                         	HABV_91_1_868               
1280495774                         	HABV_91_1_869               
1280495782                         	HABV_91_1_870               
1280495790                         	HABV_91_1_871               
1280495804                         	HABV_91_1_872               
1280495812                         	HABV_91_1_873               
1280495820                         	HABV_91_1_874               
1280495839                         	HABV_91_1_876               
1280495847                         	HABV_91_1_879               
1280495855                         	HABV_91_1_885               
1280495863                         	HABV_91_1_886               
1280495871                         	HABV_91_1_889               
128049588X                         	HABV_91_1_893               
1280495898                         	HABV_91_1_894               
1280495901                         	HABV_91_1_895               
128049591X                         	HABV_91_1_898               
1280495928                         	HABV_91_1_899               
1280495936                         	HABV_91_1_901               
1280495944                         	HABV_91_1_904               
1280495952                         	HABV_91_1_906               
1280495960                         	HABV_91_1_908               
1280495979                         	HABV_91_1_910               
1280495987                         	HABV_91_1_912               
1280495995                         	HABV_91_1_914               
1280496002                         	HABV_91_1_915               
1280496010                         	HABV_91_1_917               
1280496029                         	HABV_91_1_919               
1280496037                         	HABV_91_1_920               
1280496045                         	HABV_91_1_921               
1280496053                         	HABV_91_1_923               
1280496061                         	HABV_91_1_924               
128049607X                         	HABV_91_1_926               
1280496088                         	HABV_91_1_928               
1280496096                         	HABV_91_1_932               
128049610X                         	HABV_91_1_933               
1280496118                         	HABV_91_1_934               
1280496126                         	HABV_91_1_937               
1280496134                         	HABV_91_1_938               
1280496142                         	HABV_91_1_941               
1280496150                         	HABV_91_1_942               
1280496169                         	HABV_91_1_945               
1280496177                         	HABV_91_1_949               
1280496185                         	HABV_91_1_952               
1280496193                         	HABV_91_1_953               
1280496207                         	HABV_91_1_955               
1280496215                         	HABV_91_1_956               
1280496223                         	HABV_91_1_958               
1280496231                         	HABV_91_1_964               
128049624X                         	HABV_91_1_965               
