idn	akten-nr
1247326454                         	HABV_91_1_956               
1247326462                         	HABV_91_1_958               
1247326470                         	HABV_91_1_964               
1247326489                         	HABV_91_1_965               
1247326497                         	HABV_91_1_969               
1247326500                         	HABV_91_1_970               
1247326519                         	HABV_91_1_972               
1247326527                         	HABV_91_1_976               
1247326535                         	HABV_91_1_977               
1247326543                         	HABV_91_1_978               
1247326551                         	HABV_91_1_979               
124732656X                         	HABV_91_1_980               
1247326578                         	HABV_91_1_981               
1247326594                         	HABV_91_1_983               
1247326608                         	HABV_91_1_984               
1247326624                         	HABV_91_1_985               
1247326632                         	HABV_91_1_986               
1247326640                         	HABV_91_1_987               
1247326659                         	HABV_91_1_988               
1247326667                         	HABV_91_1_989               
1247326675                         	HABV_91_1_990               
1247326683                         	HABV_91_1_992               
1247326691                         	HABV_91_1_993               
1247326705                         	HABV_91_1_997               
1247326713                         	HABV_91_1_998               
1247326721                         	HABV_91_1_999               
124732673X                         	HABV_91_1_1000              
1247326748                         	HABV_91_1_1001              
1247326756                         	HABV_91_1_1006              
1247326764                         	HABV_91_1_1008              
1247326772                         	HABV_91_1_1009              
1247326780                         	HABV_91_1_1010              
1247326799                         	HABV_91_1_1013              
1247326802                         	HABV_91_1_1014              
1247326810                         	HABV_91_1_1016              
1247326829                         	HABV_91_1_1017              
1247326837                         	HABV_91_1_1019              
1247326845                         	HABV_91_1_1020              
1247326853                         	HABV_91_1_1021              
1247326861                         	HABV_91_1_1024              
124732687X                         	HABV_91_1_1026              
1247326888                         	HABV_91_1_1029              
1247326896                         	HABV_91_1_1033              
124732690X                         	HABV_91_1_1034              
1247326918                         	HABV_91_1_1036              
1247326926                         	HABV_91_1_1038              
1247326934                         	HABV_91_1_1040              
1247326942                         	HABV_91_1_1041              
1247326950                         	HABV_91_1_1045              
1247326969                         	HABV_91_1_1047              
1247326977                         	HABV_91_1_1050              
1247326985                         	HABV_91_1_1051              
1247326993                         	HABV_91_1_1053              
1247327000                         	HABV_91_1_1056              
1247327019                         	HABV_91_1_1057              
1247327027                         	HABV_91_1_1059              
1247327035                         	HABV_91_1_1061              
1247327043                         	HABV_91_1_1062              
1247327051                         	HABV_91_1_1065              
124732706X                         	HABV_91_1_1068              
1247327078                         	HABV_91_1_1069              
1247327086                         	HABV_91_1_1070              
1247327094                         	HABV_91_1_1071              
1247327108                         	HABV_91_1_1072              
1247327116                         	HABV_91_1_1073              
1247327124                         	HABV_91_1_1076              
1247327132                         	HABV_91_1_1077              
1247327140                         	HABV_91_1_1079              
1247327159                         	HABV_91_1_1080              
1247327167                         	HABV_91_1_1085              
1247327175                         	HABV_91_1_1086              
1247327183                         	HABV_91_1_1089              
1247327191                         	HABV_91_1_1090              
1247327205                         	HABV_91_1_1091              
1247327213                         	HABV_91_1_1094              
1247327221                         	HABV_91_1_1101              
124732723X                         	HABV_91_1_1104              
